,キャラ名,台詞,立ち絵・表情,背景,BGM,SE,ボイス,備考,$
2586,八百屋,"「高級街って……今皆が走ってきた方角じゃないか。
それじゃあ……」",,back-006,,,,,$
2587,メイア,「……」,,back-006,,,,,$
2588,メイア,「高級街ですね？　　私、見てきます」,,back-006,,,,,$
2589,母親,「え……っ！？　でも……」,,back-006,,,,,$
2590,八百屋,「吸血鬼が出てるんだ、危ないよ！」,,back-006,,,,,$
2591,メイア,"「危なくなったらすぐ逃げます。
それに、逃げ遅れている娘さんの方が心配ですから」",,back-006,,,,,$
2592,母親,「で、でも……」,,back-006,,,,,$
2593,メイア,"「お母さんは八百屋さんと逃げてください。
すぐに娘さんを連れてきます」",,back-006,,,,,$
2594,八百屋,「……気をつけるんだよ！」,,back-006,,,,,$
,,,,,,SE-003,,スライドアウト,$
,,,,,,,,スライドイン,$
2595,メイア,「っは……どこ？　マリーちゃん……！」,,back-019,,,,,$
2596,メイア,"（……あんまり声を上げると吸血鬼にばれるかもしれない。
極力音は立てずに探したほうがいいかも）",,back-019,,,,,$
,,,,back-019,,,,,$
,,『カフェ方面』,,,,,,,$
,,,,,,,,スライドアウト,$
,,,,back-019,,SE-003,,スライドイン,$
2597,メイア,「……」,,back-019,,,,,$
2598,メイア,「……だめ、誰もいない」,,back-019,,,,この後スライドアウト/インで『劇場方面』のシナリオに遷移。,$
,,,,,,,,,$
,,『劇場方面』,,,,,,,$
,,,,,,スライドアウト,,,$
,,,,back-017,,スライドイン,,,$
2599,メイア,「……」,,back-017,,,,,$
2600,メイア,「マリーちゃん……？」,,back-017,,,,,$
2601,メイア,「……ここにもいない……？」,,back-017,,,,,$
2602,？？？,"「……う、ぐすっ、
うう……おかあさん……！」",,back-017,,,,,$
2603,メイア,「……！」,,back-017,,,,,$
2604,メイア,「マリーちゃん！！」,,back-017,,,,,$
2605,マリー,「う……ふえ、だあれ……？」,,back-017,,,,,$
2606,メイア,"「よかった……あなたを探しに来たの。
一緒に戻ろう？ お母さんが待ってるよ」",,back-017,,,,,$
2607,マリー,「……！ うん！」,,back-017,,,,,$
2608,メイア,「よし、いい子。私の手、離さないでね」,,back-017,,,,,$
2609,マリー,「あ……ま、まって」,,back-017,,,,,$
2610,メイア,「どうしたの？」,,back-017,,,,,$
2611,マリー,"「そっち、行っちゃだめ……！
こわいひとがくる……！」",,back-017,,,,,$
2612,メイア,「え……」,,back-017,,,,,$
2613,吸血鬼A,「……ウ、グ、ウゥ……」,,back-017,,,,,$
2614,メイア,「……！！」,,back-017,,,,,$
2615,マリー,「ひっ……！」,,back-017,,,,,$
2616,メイア,「もしかして、あれに追われてて……」,,back-017,,,,,$
2617,メイア,「……行くよ、走って！！」,,back-017,,,,,$
,,,,,,SE-003,,スライドアウト,$
,,,,,,,,スライドイン,$
2618,吸血鬼B,「グルル……」,,back-019,,,,,$
2619,メイア,「うそ、一体じゃないの……！？」,,back-019,,,,,$
2620,マリー,「お、おねえちゃん……」,,back-019,,,,,$
2621,メイア,「……大丈夫。大丈夫だからね」,,back-019,,,,,$
2622,メイア,（……せめて、この子だけは……！）,,back-019,,,,,$
2623,吸血鬼たち,「「ガアアァーーーッ！！！」」,,back-019,,,,,$
2624,メイア,「ッ……！」,,back-019,,,,,$
2625,クライン,「――はあっ！！」,,back-019,,,V-2625,声のみ,$
,,,,,,SE-015,,efect-03,$
2626,メイア,「……！ クライン！」,K-09,back-019,,,,クライン立ち絵表示,$
2627,クライン,「下がってろ！」,K-09,back-019,,,V-2627,,$
2628,クライン,「っあ！！」,K-09,back-019,,SE-015,V-2628,,$
2629,吸血鬼A,「ガアッ……！」,,back-019,,,,,$
2630,クライン,「とっ……こいつで、最後！！」,K-09,back-019,,,V-2630,,$
2631,吸血鬼B,「ウグアァッ！」,,back-019,,SE-015,,,$
2632,クライン,「……ふう」,K-02,back-019,,,V-2632,,$
2633,クライン,「ッ……メイア、大丈夫か！？」,K-05,back-019,,SE-003,V-2633,,$
2634,メイア,「う……うん。っ、私よりも……！」,,back-019,,,,,$
2635,マリー,「……っ」,,back-019,,,,,$
2636,クライン,「子ども……？」,K-02,back-019,,,V-2636,,$
2637,メイア,"「この子、逃げ遅れちゃって……
ずっと追われてたみたいなの」",,back-019,,,,,$
2638,クライン,"「そうか……怪我は？
痛いところ、無いか？」",K-02,back-019,,,V-2638,,$
2639,マリー,「う、ううん……」,,back-019,,,,,$
2640,クライン,「そっか、よかった。……あんたは平気か？」,K-01,back-019,,,V-2640,,$
2641,メイア,「うん、大丈夫」,,back-019,,,,,$
2642,クライン,「……よかった」,K-01,back-019,,,V-2642,,$
2643,グレイ,「――クライン！」,G-03,back-019,,SE-006,V-2643,,$
2644,クライン,"「グレイさん。
こっちは片づけたぜ。二体だ」",K-01,back-019,,,V-2644,,$
2645,グレイ,"「二体？ 思ったより多かったんやな。
体、平気か？」",G-06,back-019,,,V-2645,,$
2646,クライン,「おう。健康そのものって感じだ！」,K-03,back-019,,,V-2646,,$
2647,グレイ,"「……さよか。なら良かったわ。
そっちの二人は逃げ遅れか？」",G-01,back-019,,,V-2647,,$
2648,クライン,"「ああ、どっちも怪我は無いって。
……この子のお母さんって……」",K-01,back-019,,,V-2648,,$
2649,メイア,「商店街の方に避難してるよ」,,back-019,,,,,$
2650,グレイ,「なら、俺が連れて行くわ。親御さんに説明もせんとアカンからな」,G-01,back-019,,,V-2650,,$
2651,マリー,「……」,,back-019,,,,,$
2652,グレイ,"「すまんなあ、お嬢ちゃん。人相悪いのは元からなんや。
怖いやろうけどちょっとだけ我慢してくれへん？」",G-01,back-019,,,V-2652,,$
2653,マリー,「……だ、大丈夫」,,back-019,,,,,$
2654,グレイ,"「お、ええ子やな。ほな、行こか。
クライン、後頼むで」",G-02,back-019,,,V-2654,,$
,,,,,,SE-006,,グレイ立ち絵FO,$
2655,クライン,"「……あんた、もしかしてあの子を探すためにこっちに来たのか？
一人じゃ高級街なんて来ないだろ」",K-02,back-019,,,V-2655,,$
2656,メイア,"「あの子のお母さんと会ったの。
見つけてあげないとって……」",,back-019,,,,,$
2657,クライン,"「っつっても、あんたに何かあったらどうすんだよ！
オレが来たときだって子どものこと庇ってて……」",K-08,back-019,,,V-2657,,$
2658,クライン,「自分はどうなってもいいって、思ってたんだろ」,K-08,back-019,,,V-2658,,$
2659,メイア,"「……だって、それはそうでしょう。
あのとき優先するべきは私の命より、あの子の命だと思ったの」",,back-019,,,,,$
2660,クライン,"「バカ、命に優先もクソもねーよ。
あの子もあんたも大事だ」",K-08,back-019,,,V-2660,,$
2661,クライン,"「だから、これからはあんま無茶なことすんなよ。
下手な死に方したら、あんたのこと一生恨むからな」",K-08,back-019,,,V-2661,,$
2662,メイア,「死んでるのに？」,,back-019,,,,,$
2663,クライン,"「死ぬなっつってんだよ！
いいか、マジで下手なことするなよ。あんたはオレの……」",K-07,back-019,,,V-2663,,$
2664,メイア,「クラインの？」,,back-019,,,,,$
2665,クライン,"「……だーっ！　なんでもない！
とにかく、今日みたいな無茶はもうすんなよ。いいな？」",K-08,back-019,,,V-2665,,$
2666,メイア,「……うん、気を付ける。心配かけて、ごめんなさい」,,back-019,,,,,$
2667,クライン,「……ま、分かればいいよ」,K-02,back-019,,,V-2667,,$
2668,クライン,"「――っし！　この話は終わり！
オレたちも……」",K-01,back-019,,,V-2668,,$
2669,クライン,「――……ッ」,K-11,back-019,,,V-2669,,$
2670,メイア,「……クライン？」,,back-019,,,,,$
2671,クライン,"「あ、ああ……悪い、なんでもない。
久々に動いてちょっと立ち眩み」",K-01,back-019,,,V-2671,,$
2672,クライン,"「悪いんだけど、一人で戻れるか？
オレ、事後処理もしないといけないからさ」",,back-019,,,V-2672,,$
2673,メイア,「あ……うん、大丈夫。……無理してない？」,,back-019,,,,,$
2674,クライン,"「へーきへーき！　よくあることなんだ。
血圧がどうとか……そういう理由」",K-03,back-019,,,V-2674,,$
2675,クライン,「だからマジで大丈夫。悪いな、心配かけて」,K-01,back-019,,,V-2675,,$
2676,メイア,"「……なら、いいんだけど……
クラインこそ、自分のこと気にかけてね」",,back-019,,,,,$
2677,クライン,"「わーってるよ。ほら、さっさと行け。
一般人がいると邪魔になっちまう」",K-01,back-019,,,V-2677,,$
2678,メイア,「あ、ごめん……！　じゃあね、クライン」,,back-019,,,,,$
2679,クライン,「おう、また今度な」,K-03,back-019,,,V-2679,,$
,,,,,,SE-006,,,$
2680,クライン,「…………」,K-02,back-019,,,V-2680,,$
2681,クライン,「──っつ、う……！」,K-11,back-019,,,V-2681,,$
,,,,,,,,N-object-011,$
2682,クライン,「は……っくそ、やっぱいきなり動くとキツイか……」,K-07,back-019,,,V-2682,,$
2683,クライン,「……報告書書かねーと」,K-02,back-019,,,V-2683,,$
,,,,,,,,フェードアウト。終了。,$
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
