,キャラ名,台詞,立ち絵・表情,背景,BGM,SE,ボイス,備考,$
273,メイア,「……今、わかったって言いました？」,M-05,back-005-sun,,,,,$
274,リート,「ああ。……行くからその捨て犬のような顔をやめてくれ。やりにくい」,L-01,back-005-sun,,,V-0274,,$
275,メイア,「……っ！　ありがとうございます！」,M-02,back-005-sun,,,,,$
,,,,,,,,,$
,,『一回だけでいいですから！』,,,,,,選択肢/好感度小アップ,$
276,メイア,「だ……だったら一回！一回だけでいいです！」,M-07,back-005-sun,,,,,$
277,メイア,"「一回食堂で食事してもらって、それでやっぱりお部屋の方が良ければお部屋に戻ってもらって構いません！
ですから、一回だけチャンスをください！」",M-07,back-005-sun,,,,,$
278,リート,「……一回でいいんだな」,L-01,back-005-sun,,,V-0278,,$
279,メイア,「……！　はいっ！　ありがとうございます！」,M-02,back-005-sun,,,,,$
,,,,,,,,,$
280,リート,「……まったく」,L-04,back-005-sun,,,V-0280,,$
,,,,,,,,場面変化。スライド。,$
,,,,,,,,,$
281,リート,「……！」,L-05,back-014,,,V-0281,,$
282,メイア,「さ、どうぞ！　リートさん！」,M-02,back-014,,,,,$
283,リート,「……これは、全てお前がやったのか？」,L-05,back-014,,,V-0283,,$
284,メイア,「これ？　……あ、掃除のことですか？　はい、私が」,M-01,back-014,,,,,$
285,メイア,「机も椅子も、暖炉も全部埃かぶってて最初はどうしようかと思ったんですけど……」,M-04,back-014,,,,,$
286,リート,"「そうだろうな。この食堂なんて俺が来て以来一度も扉を開いていない。
……一人で手に負える状態ではなかっただろう」",L-01,back-014,,,V-0286,,$
287,メイア,「いえ、そうでもないですよ。埃さえ落とせばどれもまだ使えるものでしたし……暖炉も壊れてないんです。私はほんの少し掃除をしただけですよ」,M-01,back-014,,,,,$
288,メイア,"「他にも、キッチンと書庫と……目に付く場所は綺麗にしておきました。
幸い、どこも自力で修繕できる程度でしたから」",M-01,back-014,,,,,$
289,メイア,「あ、まだ掃除しきれてないところもあるんですけど、そこはこれからやっていきますね！」,M-02,back-014,,,,,$
290,リート,「……どうして、そこまで」,L-01,back-014,,,V-0290,,$
,,,,,,,,,$
,,『折角のお屋敷なのに』,,,,,,選択肢/好感度小アップ,$
291,メイア,「どうしてって……そりゃ、無理言って住まわせてもらってるからっていうのもありますけど」,M-01,back-014,,,,,$
292,メイア,「折角良いお屋敷なのに、こんなに汚れてたら可愛そうですよ。住んでるほうも気が滅入っちゃいます」,M-01,back-014,,,,,$
293,メイア,「リートさん、あまりお部屋の外に出たがりませんけど……こうやって少しでも綺麗にしておけば、外に出る気になれるかなーって……」,M-01,back-014,,,,,$
294,リート,「……」,L-05,back-014,,,V-0294,,$
,,,,,,,,,$
,,『潔癖症なんです』,,,,,,選択肢/好感度小ダウン,$
295,メイア,「潔癖症で、埃っぽいとこにいられないんです」,M-04,back-014,,,,,$
296,リート,「……」,L-01a,back-014,,,V-0296,,$
297,メイア,「リートさん、よく平気でいられますね……すごいですね」,M-04,back-014,,,,,$
298,リート,「……悪かったな」,L-04,back-014,,,V-0298,,$
,,,,,,,,,$
299,メイア,"「って言っても、私が出ていくとまた掃除する人いなくなっちゃうんですよね。
あ、でも籠もりきりはやっぱりよくないですよ。お屋敷の中だけでも少し歩いて……」",M-01,back-014,,,,,$
300,リート,「……食事に呼んだのではないのか？」,L-01,back-014,,,V-0300,,$
301,メイア,「ああっ、そうでした！　お待ち下さいね、今準備しますから！」,M-05,back-014,,,,,$
,,,,back-014,,SE-002,,,$
302,リート,「…………」,L-01,back-014,,,V-0302,,$
303,リート,「……この机……」,L-05,back-014,,,V-0303,,$
304,リート,「こんな上等なもの、この屋敷にあったのか……」,L-01,back-014,,,V-0304,,$[
,,,,,,,,フェードアウト,$
,,,,back-014,,,,フェードイン,$
305,メイア,「──さあ、お待たせいたしました！」,M-02,back-014,,,,,$
306,メイア,「今日はシチューにしてみました。リートさんはあまり濃い味付けはお好きでない感じでしたので、あっさりめに。お口に合えばいいんですが」,M-01,back-014,,,,,$
307,メイア,「私は後ろに控えてますから、何かあれば仰ってくださいね」,M-02,back-014,,,,,$
308,リート,「…………」,L-01,back-014,,,V-0308,,$
,,,,back-014,,SE-010,,リート立ち絵フェードアウト,$
309,メイア,（顔は見えないけど……良かった、食べてくれてる）,M-01,back-014,,,,,$
310,メイア,（これからもこうして少しは外に出てくれると嬉しいんだけど……余程の出不精とかなのかな。あ、私のせいかもしれないのか）,M-04,back-014,,,,,$
311,メイア,（うーん、新しい働き先……リートさんにはああ言ったけど、正直当てがないんだよね。アインで働くのは流石に危険だし……）,M-04,back-014,,,,,$
312,メイア,（どこか遠い、他の街に行くのが一番だけど、ツテがあるわけでもないし……）,M-04,back-014,,,,,$
313,メイア,（そうだ、あの軍人さん……クラインさん、だっけ。あの人、顔広そうだし何処か良い場所知ってたり……）,M-04,back-014,,,,,$
314,リート,「──おい。……おい、聞こえていないのか」,L-03,back-014,,,V-0314,リート立ち絵フェードイン,$
315,メイア,「うひゃあ！？　あっ、す、すみません！！　少し考え事を……何かご用でしたか！？」,M-05,back-014,,,,,$
316,リート,「……いつまでそこに立っているつもりだ。真後ろに居られると気が散るんだが」,L-04,back-014,,,V-0316,,$
317,メイア,「え……あ、そっか、そうですよね。すみません、今部屋を出ますので……」,M-04,back-014,,,,,$
318,リート,"「そうではない。
……後ろにいるくらいなら、お前も席について食えと言っている」",L-01,back-014,,,V-0318,,$
319,メイア,「……え！？」,M-05,back-014,,,,,$
320,リート,「お前、毎日俺のところに持ってくる癖に自分の分の食事を摂っていないだろう」,L-01,back-014,,,V-0320,,$
321,メイア,「ど……どうしてそれを」,M-05,back-014,,,,,$
322,リート,「深夜に台所に出た際、食材を見た。どう見ても一人分しかなかったな」,L-01,back-014,,,V-0322,,$
323,メイア,（へ、部屋の外出てたんだ……）,M-04,back-014,,,,,$
324,リート,「何故だ？　俺はお前に食事をするなと言った覚えは無い。金は好きに使えと言っただろう」,L-01,back-014,,,V-0324,,$
325,メイア,「それはそうですが、使用人がご主人様と同じ食事を摂る訳にはいかないでしょう。私の分をわざわざ作るのもおかしいですし……」,M-04,back-014,,,,,$
326,リート,「……ふむ、以前居た家での名残か」,L-08,back-014,,,V-0326,,$
327,メイア,「……あの、」,M-04,back-014,,,,,$
328,リート,"「──お前が前の仕事場でどんな教育をされたかは知らない。
だが、ここに居る間はちゃんと食事を摂れ。それが原因で体を壊されたりでもしたら迷惑だ」",L-01,back-014,,,V-0328,,$
329,メイア,「で、でも……それは」,M-04,back-014,,,,,$
330,リート,「……俺も今後、食事はここで摂ろう。ただし、その際はお前も同席しろ。自分の分も用意してな」,L-01a,back-014,,,V-0330,,$
331,メイア,「……えっ？」,M-05,back-014,,,,,$
332,リート,「口で言ったところで聞くかも分からない。なら、こうして監視しておいた方がいい。……それに」,L-01,back-014,,,V-0332,,$
333,リート,「……使える部屋を使わないのは、勿体ないからな」,L-08,back-014,,,V-0333,,$
334,メイア,「……！」,M-05,back-014,,,,,$
335,リート,"「兎に角、食事は摂れ。今日は俺の分を半分食べろ。
次回からはちゃんと二人分用意しておくように」",L-01,back-014,,,V-0335,,$
336,メイア,「リ……リートさん……」,M-05,back-014,,,,,$
337,リート,「……なんだ、早くしろ」,L-04,back-014,,,V-0337,,$
338,メイア,「──いえ、わかりました。……ありがとうございます！」,M-02,back-014,,,,,$
339,メイア,（……やっぱり、リートさんていい人だな）,M-02,back-014,BGM-002フェードアウト,,,,$
,,,,,,,,フェードアウト。終了。,$
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
