,キャラ名,台詞,立ち絵・表情,背景,BGM,SE,ボイス,備考,$
682,メイア,（首を絞められてるせいで、息がっ……）,なし,back-010,,,,,$
683,男,「安心しろよ。飲んでる間は殺さねえ。生き血の方が美味いからな」,なし,back-010,,,,,$
684,男,「折角の『黄金の血』だ。ゆっくり味わわせてもらうぜ……」,なし,back-010,,,,,$
685,メイア,「……っ！」,なし,back-010,,,,,$
686,メイア,（……真っ赤な目に、牙……！　この人、まさか……！」,なし,back-010,BGM-005フェードアウト,,,,$
687,？？？,「──おらぁっ！！」,なし,back-010,,SE-015,V-0687,,$
688,メイア,（クライン……！？）,"M-05,K-08",back-007,,,,,$
689,吸血鬼,「グ、が……ッ……ぎ、銀蝶隊……ッ」,"S-03a,K-08",back-007,,,,クラインの立ち絵を一瞬消去して二人並べ直す。,$
690,クライン,「……はぁっ！」,K-08,back-007,,,V-0690,,$
,,,,back-007,,SE-015,,efect-03,$
691,吸血鬼,「グァあ……ッ！」,S-03a,back-007,,SE-016,,吸血鬼立ち絵、頭から徐々に消してく。,$
692,クライン,「……っメイア！　大丈夫か！？」,K-05,back-007,,,V-0692,,$
693,メイア,「……けほっ、……う、うん」,M-04,back-007,,,,,$
694,クライン,「お前……首絞められたのか！？　赤くなってる」,K-06,back-007,,,V-0694,,$
695,メイア,「大丈夫、ちょっと痕になっただけだから。骨も折れてないし……」,M-04,back-007,,,,,$
696,メイア,「それより、ありがとう。あのままだと私……」,M-01,back-007,,,,,$
697,クライン,"「……あんた、なんでこんなとこに一人でいたんだよ。
吸血鬼はいつどこに潜んでるか分からないんだ。特に若い女は狙われやすい。
一人で行動するなってよく言われるだろ」",K-08,back-007,,,V-0697,,$
698,メイア,「……ごめんなさい。確かに迂闊だった」,M-04,back-007,,,,,$
699,クライン,"「……まあ、助かったからいいけどさ。マジで気をつけろよ。
今日は俺が来たから良かったけど、タイミングが悪けりゃ本当に死んでたからな」",K-08,back-007,,,V-0699,,$
700,メイア,「うん……ごめん、ありがとう」,M-04,back-007,,,,,$
701,メイア,「…………」,M-04,back-007,,,,,$
672,男,"「血の匂い……それも、とびきり甘い……
オマエ……『黄金の血』か！？」",S-03,back-007,,SE-017,,回想。回想は画面全体セピア色にしてください,$
702,メイア,「……ねえ、クライン」,M-04,back-007,,,,,$
703,クライン,「ん？」,K-02,back-007,,,V-0703,,$
704,メイア,「クラインは……『黄金の血』って、なんだか分かる？」,M-04,back-007,,,,,$
705,クライン,「はあ？なんだそりゃ」,K-07,back-007,,,V-0705,,$
706,メイア,「……ううん、知らないならいいの」,M-04,back-007,,,,,$
707,メイア,"（……女の人の血をそう呼んでるだけ……じゃ、ないのかな。
なら……）",M-04,back-007,,,,,$
708,メイア,（あの吸血鬼の言っていたことは、なんだったんだろう）,M-04,back-007,,,,,$
709,クライン,「……メイア、本当に大丈夫か？」,K-07,back-007,,,V-0709,,$
710,メイア,「あ……！ う、うん。ごめんね。ちょっと考え事してて……」,M-05,back-007,,,,,$
711,クライン,「ならいいけど……」,K-07,back-007,,,V-0711,,$
712,クライン,「つーかまたこんなとこ来て何してたんだ？ また迷ったのか？」,K-02,back-007,,,V-0712,,$
713,メイア,"「ち、違うよ！ 今日はちゃんと用があって来たの。
ご主人様に言われて、手紙 を出しに」",M-05,back-007,,,,,$
714,クライン,「手紙ぃ？ ……ポストなら大通りだぞ」,K-07,back-007,,,V-0714,,$
715,メイア,"「そうなんだけど、直接投函してこいって。
それで、白い扉に『Close』の札がかかった建物を探してるの」",M-01,back-007,,,,,$
716,クライン,「白い扉って……あんたの後ろの、それか？」,K-07,back-007,,,V-0716,,$
717,メイア,「後ろって……ああっ！」,M-05,back-007,,,,,$
,,,,back-007,,,,N-object-004表示,$
718,メイア,「色々あって気付かなかった……」,M-05,back-007,BGM-003,,,,$
719,クライン,「ここ、なんかの店なのか？　ここが開いてんの、オレ見たことねーけど」,K-05,back-007,,,V-0719,,$
720,メイア,「さあ……私も詳しいことはあまり……」,M-04,back-007,,,,,$
,,,,back-007,,SE-018,,,$
721,クライン,「用事はそれで全部か？　あんたの屋敷まで送ってくよ」,K-01,back-007,,,V-0721,,$
722,メイア,「えっ？　でも、悪いよ」,M-04,back-007,,,,,$
723,クライン,"「またいつ吸血鬼が出るか分からないだろ。
……あ、これはナンパじゃないからな。本気で心配してるからな」",K-07,back-007,,,V-0723,,$
724,メイア,"「わかってるよそれは。──でも、本当に大丈夫。
あそこで人とか見たことないし、リートさん……あ、ご主人様から教わった道を進めば大丈夫だから。
吸血鬼避けもしてるって言うし」",M-01,back-007,,,,,$
725,クライン,「……メイア、あんた一体どこの屋敷で働いてんだ？」,K-07,back-007,,,V-0725,,$
726,メイア,「えっと……森の中」,M-01,back-007,,,,,$
727,クライン,「……森の中？」,K-07,back-007,,,V-0727,,$
728,メイア,「そう、あの……町はずれの。人通りも無いけど、吸血鬼もいないでしょ？ 　だから、大丈夫」,M-01,back-007,,,,,$
729,メイア,"（……ていうか、リートさん人嫌いだし。
クラインを連れて行くの、良く思わないかもしれないよね）",M-04,back-007,,,,,$
730,クライン,"「……森って、まさか『迷いの森』の話してんのか！？
あそこ、吸血鬼云々以前に危ないとこだろ！
つーか中って……お前、どこで働いてんだよマジで」",K-06,back-007,,,V-0730,,$
731,メイア,"「と、兎に角！　本当に大丈夫だから！　周りにも気を付けるし、街ではちゃんと クラインに声をかけるようにする。
だから、森の中までは送ってもらわなくても平気！」",M-01,back-007,,,,,$
732,クライン,「メイア──」,K-08,back-007,,,V-0732,,$
733,メイア,"「それじゃ私、そろそろ戻らないと。
ごめんねクライン、また今度！」",M-02,back-007,,,,,$
,,,メイア立ち絵消去,back-007,,SE-003,,,$
734,クライン,「あっ、ちょっ……！」,K-05,back-007,BGM-003フェードアウト,,V-0734,,$
735,クライン,「……迷いの森の屋敷って……」,K-07,back-007,,,V-0735,,$
736,クライン,「……あいつ、大丈夫か……？」,K-07,back-007,,,V-0736,,$
,,,,,,,,フェードアウト,$
,,,,,,,,フェードイン,$
737,リート,「……！ メイア。遅かったな」,L-05,back-015-night,BGM-002,,V-0737,,$
738,メイア,「す、すみません！ ちょっと道に迷っちゃって」,M-05,back-015-night,,,,,$
739,リート,「そんなに分かりにくい場所にあったか？」,L-03,back-015-night,,,V-0739,,$
740,メイア,"「ああいえ、その……私、方向音痴なんです。
いつもいつも道に迷っちゃうんですよ！ あはは……」",M-02,back-015-night,,,,,$
741,リート,「…………」,L-03,back-015-night,,,V-0741,,$
742,メイア,「……はは……」,M-02,back-015-night,,,,,$
743,リート,「……何があったんだ？」,L-01,back-015-night,,,V-0743,,$
744,メイア,（う……ばれてる）,M-04,back-015-night,,,,,$
745,リート,「お前は隠し事が下手だな。分かりやすく声が上擦る」,L-04,back-015-night,,,V-0745,,$
746,リート,「……それに、その首。僅かだが赤くなっている。……説明してみろ」,L-01,back-015-night,,,V-0746,,$
747,メイア,（……どうしよう、リートさんにお話した方がいいのかな？）,M-04,back-015-night,,,,,$
748,メイア,（でも、私のことであまり心配をかけるのも悪いし……どうしよう）,M-04,back-015-night,,,,,$
,,,,,,,,,$
,,『話す』,,,,,,選択肢/リート好感度高アップ,$
749,メイア,「……その、実は……街で吸血鬼に襲われたんです。首はそのときに……」,M-04,back-015-night,,,,,$
750,リート,「……！」,L-05,back-015-night,,,V-0750,,$
751,メイア,「あ、でもすぐに助けてもらったので大丈夫です！ 怪我も無いですし、首の痕もきっと明日には取れてます！」,M-05,back-015-night,,,,,$
752,リート,「……本当に、」,L-03,back-015-night,,,V-0752,,$
753,メイア,「はいっ？」,M-01,back-015-night,,,,,$
754,リート,「本当に、何も無いんだな？ 噛み付かれたりなんてことは……」,L-03,back-015-night,,,V-0754,,$
755,メイア,「え、ええ……わっ」,M-05,back-015-night,,,,,$
,,,"L-03,リート立ち絵バストアップ",back-015-night,,SE-019,,,$
756,メイア,「リ、リートさん……！？」,M-05,back-015-night,,,,,$
757,リート,「……怪我には、なっていないな」,L-03,back-015-night,,,V-0757,,$
758,メイア,「はい。……リートさん、その……」,M-05,back-015-night,,,,,$
759,リート,「……すまない、もう少し気を配るべきだった」,L-03,back-015-night,,,V-0759,,$
760,メイア,「え……？」,M-04,back-015-night,,,,,$
761,リート,"「お前を裏通りに一人で行かせるべきではなかった。
人の多い商店街ならまだしも、あそこは人通りも無く薄暗い。俺が行くべきだった」",L-03,back-015-night,,,V-0761,,$
762,リート,「──怖い思いをしたろう。……本当に、すまない」,L-03,back-015-night,,,V-0762,,$
763,メイア,「……っ」,M-04,back-015-night,,,,,$
764,メイア,（どうして……どうして、リートさんの方が辛そうな顔をしているんだろう）,M-04,back-015-night,,,,,$
765,メイア,（確かにリートさんは優しい人だけど……今のリートさんは何か……違う）,M-04,back-015-night,,,,,$
766,メイア,「……リートさん」,M-01,back-015-night,,,,,$
767,リート,「……ッ」,L-03,back-015-night,,,V-0767,,$
768,メイア,「私は、大丈夫ですから。だから、そんな顔しないでください」,M-01,back-015-night,,,,,$
769,メイア,"「私は元気ですし、タフな方なんです。ちょっとやそっとのことじゃ怪我なんてしませんよ。
襲われるのには慣れてますし！　ですから、すっごく怖かったなんてこともないです！」",M-02,back-015-night,,,,,$
770,メイア,"「ですから、いきなりリートさんの前からいなくなるなんてこともないです！　
……ていうか、まだ次の職場を見つけられていないので言われてもいなくなれるかどうか……」",M-02,back-015-night,,,,,$
771,リート,「…………」,L-05,back-015-night,,,V-0771,,$
772,メイア,"「えっと、だから、兎に角今は大丈夫です！　むしろここに来てから調子がいいくらいですから！
リートさんのお陰です！」",M-02,back-015-night,,,,,$
773,メイア,「だから、えーと、それで……」,M-04,back-015-night,,,,,$
774,リート,「……ふ、」,L-02,back-015-night,,,V-0774,,$
775,リート,「悪い……お前があまりに必死なものだから」,L-02,back-015-night,,,V-0775,,$
776,メイア,「だ、だってリートさんが……」,M-04,back-015-night,,,,,$
777,リート,「お前に逆に心配をかけてしまったな。……すまん、少し動揺した」,L-02,back-015-night,,,V-0777,,$
778,メイア,（どうしてそんなに……っていうのは、聞かない方がいいよね）,M-04,back-015-night,,,,,$
779,メイア,「いえ。私の方こそ、心配してくださってありがとうございます！　嬉しかったで す」,M-01,back-015-night,,,,,$
780,リート,"「ああ。……兎に角、お前が無事で良かった。
次から人通りの少ない場所に行く際は俺も同行しよう」",L-01,back-015-night,,,V-0780,,$
781,メイア,「お気持ちは嬉しいんですが、ご迷惑になりませんか？」,M-05,back-015-night,,,,,$
782,リート,「大丈夫だ。これくらいのこと、一々気にするな」,L-01,back-015-night,,,V-0782,,$
783,メイア,「……はい、ありがとうございます！」,M-02,back-015-night,,,,,$
,,,バストアップ終了,back-015-night,,SE-019,,,$
,,,,,,,,,$
,,『話さない』,,,,,,リート以後攻略不可,$
784,メイア,"「本当に大丈夫ですから。首のことも……
リートさんが気にされるようなことじゃありません」",M-04,back-015-night,,,,,$
785,リート,「……俺は説明しろ、と言ったんだが」,L-06,back-015-night,,,V-0785,,$
786,メイア,"「説明するほどのことじゃないんです。それに私はただの、期間限定の使用人ですし。ね！
リートさんが心配するようなことは何もありません」",M-02,back-015-night,,,,,$
787,リート,「……そうだったな」,L-04,back-015-night,,,V-0787,,$
788,メイア,（う……少し言い過ぎたかな）,M-04,back-015-night,,,,,$
789,メイア,（でも、全部本当のことだし……これでいいんだよね）,M-04,back-015-night,,,,,$
,,,,back-015-night,,,,,$
790,メイア,"「あ……すみません、夕食がすっかり遅くなってしまいましたね。
大急ぎで支度しますので、少々お待ちください！」",M-05,back-015-night,,,,,$
791,リート,「ゆっくりでいい。すまないな、いつも」,L-01,back-015-night,,,V-0791,「話す」を選択していた場合,$
792,リート,「ゆっくりでいい」,L-01a,back-015-night,,,V-0792,「話さない」を選択していた場合,$
793,メイア,「いえいえ！それじゃ、作ってきますね！」,M-02,back-015-night,,,,「話す」を選択していた場合,$
794,メイア,「ありがとうございます。それじゃ、作ってきますね！」,M-01,back-015-night,,,,「話さない」を選択していた場合,$
,,,,,,,,スライドアウト,$
,,,,,,,,スライドイン,$
795,メイア,「あ……」,M-05,back-008,,,,,$
796,メイア,（そうだ、リートさんに『黄金の血』のこと聞いてみようと思ってたのに、忘れちゃった）,M-05,back-008,,,,,$
797,メイア,"（でも、あんまり変なこと聞かない方がいいのかな。
……そもそもリートさんだって知らないかもしれないし。吸血鬼じゃないんだから）",M-04,back-008,,,,,$
798,メイア,「『黄金の血』……どういう意味、なんだろう」,M-04,back-008,BGM-002フェードアウト,,,,$
,,,,,,,,フェードアウト,$
,,,,,,,,フェードイン,$
799,クライン,「グレイさん、これ。今日の報告書」,K-01,back-016,BGM-006,,V-0799,,$
800,グレイ,「ああ、おおきに。……んあ、今日は吸血鬼おったんか。それも街中に」,G-01,back-016,,,V-0800,グレイ立ち絵ここから表示,$
801,クライン,「オレが倒したんだぜ！ いつもと同じように、スパーっと鮮やかにな！」,K-03,back-016,,,V-0801,,$
802,グレイ,「ん、さよか。そらよかった。体の方も問題は無いようやな」,G-02,back-016,,,V-0802,,$
803,クライン,「おう！」,K-03,back-016,,,V-0803,,$
804,クライン,「……あ、そうだ。それでさ、グレイさんにちょっと聞きたいことがあって」,K-02,back-016,,,V-0804,,$
805,グレイ,「なんや珍しいな。言ってみ」,G-01,back-016,,,V-0805,,$
806,クライン,「うん……あのさ、『迷いの森』って……あそこに人なんて、住んでないよな」,K-10,back-016,,,V-0806,,$
807,グレイ,「は……？ そら当たり前やろ。あんなとこ、人の住むとこやない」,G-06,back-016,,,V-0807,,$
808,グレイ,「実際、あそこに住所登録してるやつなんておらんしな」,G-01,back-016,,,V-0808,,$
809,クライン,「そう……やっぱ、そうだよな」,K-01,back-016,,,V-0809,,$
810,グレイ,「どうしたんいきなり。幽霊でも見たか？」,G-01,back-016,,,V-0810,,$
811,クライン,「いや、なんでもない！ ちょっと気になっただけ。悪いな、グレイさん！」,K-03,back-016,,,V-0811,,$
812,クライン,「じゃあオレ、自分の部屋戻るから。それじゃ！ 失礼します！」,K-03,back-016,BGM-006フェードアウト,,V-0812,,$
,,,,back-016,,SE-002,,クライン立ち絵消去,$
813,グレイ,「……『迷いの森』、なあ」,G-03,back-016,,,V-0813,,$
,,,,,,,,フェードアウト。終了。,$
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
